text,rating,publishedAtDate,restaurante,rating_comida,rating_servicio,rating_ambiente,tiempo_espera_reportado,likesCount,reviewerNumberOfReviews,isLocalGuide,tiene_texto,review_texto,idioma_detectado,fecha,sentimiento,prob_positivo,prob_negativo,prob_neutral,texto_normalizado,temas_detectados,num_temas,sentimiento_score
Me encanta el servicio de uds,5,2026-07-18T19:39:04.420Z,Casa Res | Steak House (Francisco de Orellana),5.0,5.0,5.0,,0,15,True,True,Me encanta el servicio de uds,es,2026-07-18 19:39:04.420000+00:00,POS,0.9749646186828612,0.00368512282148,0.0213502869009971,me encanta el servicio de uds,atencion_servicio,1,1
"Comí colita cuadril pedí término 3/4 y estaba muy cocinada nada del término que pedí , también pedimos costilla criolla no tenía nada de sal ni sazón y estaba cruda , realmente han dañado la comida en casa res.",1,2026-07-18T17:51:56.607Z,Casa Res | Steak House (Francisco de Orellana),1.0,3.0,4.0,De 10 a 30 min,0,2,False,True,"Comí colita cuadril pedí término 3/4 y estaba muy cocinada nada del término que pedí , también pedimos costilla criolla no tenía nada de sal ni sazón y estaba cruda , realmente han dañado la comida en casa res.",es,2026-07-18 17:51:56.607000+00:00,NEG,0.0056616044603288,0.9298202991485596,0.0645180568099021,"comi colita cuadril pedi termino 3/4 y estaba muy cocinada nada del termino que pedi , tambien pedimos costilla criolla no tenia nada de sal ni sazon y estaba cruda , realmente han danado la comida en casa res.",sabor_comida,2,-1
"Comí colita cuadril pedí término 3/4 y estaba muy cocinada nada del término que pedí , también pedimos costilla criolla no tenía nada de sal ni sazón y estaba cruda , realmente han dañado la comida en casa res.",1,2026-07-18T17:51:56.607Z,Casa Res | Steak House (Francisco de Orellana),1.0,3.0,4.0,De 10 a 30 min,0,2,False,True,"Comí colita cuadril pedí término 3/4 y estaba muy cocinada nada del término que pedí , también pedimos costilla criolla no tenía nada de sal ni sazón y estaba cruda , realmente han dañado la comida en casa res.",es,2026-07-18 17:51:56.607000+00:00,NEG,0.0056616044603288,0.9298202991485596,0.0645180568099021,"comi colita cuadril pedi termino 3/4 y estaba muy cocinada nada del termino que pedi , tambien pedimos costilla criolla no tenia nada de sal ni sazon y estaba cruda , realmente han danado la comida en casa res.",carne,2,-1
"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",3,2026-07-14T14:53:54.269Z,Casa Res | Steak House (Francisco de Orellana),,,,De 10 a 30 min,0,36,True,True,"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",es,2026-07-14 14:53:54.269000+00:00,NEU,0.126442939043045,0.3633614480495453,0.5101956129074097,"la verdad q me parecio muy costoso para el tamano de porcion, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho mas grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le dare 3 estrellas ya q el sabor de la comida no estuvo nada mal.",sabor_comida,6,0
"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",3,2026-07-14T14:53:54.269Z,Casa Res | Steak House (Francisco de Orellana),,,,De 10 a 30 min,0,36,True,True,"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",es,2026-07-14 14:53:54.269000+00:00,NEU,0.126442939043045,0.3633614480495453,0.5101956129074097,"la verdad q me parecio muy costoso para el tamano de porcion, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho mas grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le dare 3 estrellas ya q el sabor de la comida no estuvo nada mal.",atencion_servicio,6,0
"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",3,2026-07-14T14:53:54.269Z,Casa Res | Steak House (Francisco de Orellana),,,,De 10 a 30 min,0,36,True,True,"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",es,2026-07-14 14:53:54.269000+00:00,NEU,0.126442939043045,0.3633614480495453,0.5101956129074097,"la verdad q me parecio muy costoso para el tamano de porcion, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho mas grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le dare 3 estrellas ya q el sabor de la comida no estuvo nada mal.",tiempo_espera,6,0
"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",3,2026-07-14T14:53:54.269Z,Casa Res | Steak House (Francisco de Orellana),,,,De 10 a 30 min,0,36,True,True,"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",es,2026-07-14 14:53:54.269000+00:00,NEU,0.126442939043045,0.3633614480495453,0.5101956129074097,"la verdad q me parecio muy costoso para el tamano de porcion, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho mas grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le dare 3 estrellas ya q el sabor de la comida no estuvo nada mal.",porciones,6,0
"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",3,2026-07-14T14:53:54.269Z,Casa Res | Steak House (Francisco de Orellana),,,,De 10 a 30 min,0,36,True,True,"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",es,2026-07-14 14:53:54.269000+00:00,NEU,0.126442939043045,0.3633614480495453,0.5101956129074097,"la verdad q me parecio muy costoso para el tamano de porcion, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho mas grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le dare 3 estrellas ya q el sabor de la comida no estuvo nada mal.",precio,6,0
"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",3,2026-07-14T14:53:54.269Z,Casa Res | Steak House (Francisco de Orellana),,,,De 10 a 30 min,0,36,True,True,"la verdad q me pareció muy costoso para el tamaño de porción, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho más grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le daré 3 estrellas ya q el sabor de la comida no estuvo nada mal.",es,2026-07-14 14:53:54.269000+00:00,NEU,0.126442939043045,0.3633614480495453,0.5101956129074097,"la verdad q me parecio muy costoso para el tamano de porcion, la comida es buena, nada del otro mundo, hay varias opciones mucho mejores y con porciones mucho mas grandes y al mismo precio. con respecto al servicio me parece que deben de capacitar mejor a sus meseros para q sepan que tiene cada platillo, que tiempo demora en salir y estar atento a las necesidades de los clientes, hay q estar gritando para q lleguen a la mesa o ir directo a la barra para pedir por ejemplo unas servilletas, en general tuve mala experiencia, pero igual le dare 3 estrellas ya q el sabor de la comida no estuvo nada mal.",ambiente_instalaciones,6,0
Buen lugar para comer a veces hacen esperar mucho,2,2026-07-09T18:23:16.422Z,Casa Res | Steak House (Francisco de Orellana),,4.0,4.0,,0,380,True,True,Buen lugar para comer a veces hacen esperar mucho,es,2026-07-09 18:23:16.422000+00:00,NEU,0.1622132211923599,0.1147984117269516,0.7229883670806885,buen lugar para comer a veces hacen esperar mucho,tiempo_espera,1,0
La carne cruda y grasosa. Se supone que pedí bien cocida y me la dieron termino medio vivo. Encima pura grasa esa carne,3,2026-06-29T19:26:14.867Z,Casa Res | Steak House (Francisco de Orellana),3.0,4.0,5.0,Hasta 10 min,0,2,False,True,La carne cruda y grasosa. Se supone que pedí bien cocida y me la dieron termino medio vivo. Encima pura grasa esa carne,es,2026-06-29 19:26:14.867000+00:00,NEG,0.0035731962416321,0.9664934277534484,0.029933389276266,la carne cruda y grasosa. se supone que pedi bien cocida y me la dieron termino medio vivo. encima pura grasa esa carne,carne,1,-1
