temas_detectados,Rukito Grill&Drink - Alborada,competencia_promedio,brecha
carne,0.13861386138613863,0.3563771903246983,-0.21776332893855965
ambiente_instalaciones,0.3835616438356164,0.5009606762829864,-0.11739903244736993
precio,0.19607843137254902,0.26581828133552277,-0.06973984996297375
atencion_servicio,0.56282722513089,0.5792263564735395,-0.016399131342649476
sabor_comida,0.5610859728506787,0.5691108083494348,-0.0080248354987561
moro,0.4107142857142857,0.08278867102396514,0.32792561469032055
porciones,0.38333333333333336,0.0,0.38333333333333336
tiempo_espera,0.02631578947368421,-0.4892241379310345,0.5155399274047187
