restaurante,ambiente_instalaciones,atencion_servicio,carne,moro,porciones,precio,sabor_comida,tiempo_espera
Casa Res | Steak House (Francisco de Orellana),0.05,-0.09,-0.4,0.0,-0.11,0.06,0.17,-0.72
Don Parrilla Steak House - Urdesa,0.57,0.45,0.09,0.1,-0.12,0.71,0.58,-0.47
La Casa del Tomahawk,0.06,0.23,-0.25,-0.4,0.0,0.6,0.14,-0.47
La Parrilla Del Ñato - Urdesa,0.69,0.63,0.54,0.33,-0.2,0.27,0.53,1.0
MoroGrill - Urdesa,0.68,0.58,0.38,0.21,0.31,0.08,0.55,-0.07
Parrillada Punta Del Este,0.79,0.67,1.0,1.0,0.67,0.8,0.64,0.17
Parrillada Restaurant El Dorado Sauces 3,0.36,0.6,-0.11,0.67,0.0,0.44,0.47,0.11
Rukito Grill&Drink - Alborada,-0.06,0.06,0.33,0.67,0.11,0.9,0.52,-0.22
