fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,rating,review_texto,restaurante,tiene_texto
2026-03-03 03:04:39.746000+00:00,Sin espera,5.0,5.0,5.0,5,"Casa Res.
Un hermoso restaurante con una vista maravillosa, una comida exquisita, una gran atención al cliente, platos completamente recién hechos, un lugar ideal para comer rico y mantener una dieta sana y nutritiva.
Carnes con cortes como : 3/4 - Termino medio - Cocido.
Muy limpio y espacioso.
Les recomiendo mucho este gran establecimiento.",Casa Res | Steak House (Mall del Sol),True
2025-03-04 06:59:59.379000+00:00,,4.0,4.0,3.0,4,"El concepto de Casa Res me fascina, en general mantienen todo su estilo en todos sus locales.

El espacio del local grande, calculo que ingresan más de 150 personas. Y una vista espectacular que puedes ver los edificios de al frente. La distribución algo complicada para transitar y baños pequeños para hombre y mujer.

Sin embargo, en Mall del Sol considero por el flujo de personas la calidad y servicio va a afectar por que usualmente tiene un cálido ambiente.

La comida deliciosa como siempre excepto la papá al horno, primero toman la orden y después uno mismo se sirve la ensalada o piqueos que desee.

El personal estuvo sumamente agitado y se noto una descoordinación entre ellos porque no se respetaban quién despachaba y limpiaba las mesas.

Lo que no me agrado fue el tiempo que toman en cobrar, uno debe estar detrás de ellos porque los chicos se olvidan y van a otras mesas.

Pd. Su menú tiene ciertos cambios y agregaron nuevas bebidas soft.

De ahí todo bien, espero que mejoren!",Casa Res | Steak House (Mall del Sol),True
2024-10-24 18:46:13.385000+00:00,,3.0,1.0,1.0,1,"Una experiencia terrible, me dijeron que era un buen restaurante y resultó se lo contrario.
El servicio lento e ineficiente, no te prestan atención demoran para todo hasta para traer la factura.
La comida muy desabrida, pedí t bone y muy malo, los langostinos o camarones ricos, la limonada estaba con un sabor raro.

Presente mi queja sobre el pedido y no ofrecieron disculpas ni mostraron interés en escucharme.

No volvería a dar una segunda oportunidad a este restaurante.",Casa Res | Steak House (Mall del Sol),True
2026-06-04 20:18:03.173000+00:00,De 10 a 30 min,,,,5,Realmente delicioso!! Además se puede elegir el tipo de ensalada de tu preferencia sin costo adicional.,Casa Res | Steak House (Mall del Sol),True
2026-05-17 00:33:06.375000+00:00,,4.0,5.0,5.0,4,"Buena atención, el local es más pequeño que el de San Marino, lo destacable es que el día de la madre nos dieron una mesa con una corta espera, el servicio fue bueno y oportuno, como siempre los cortes bien preparados al igual que las ensaladas, los cocteles sin alcohol son un excelente complemento para los platos. Recomendado",Casa Res | Steak House (Mall del Sol),True
2022-12-21 19:39:44.811000+00:00,,5.0,4.0,3.0,3,"Casa res ubicado dentro del centro comercial mall del sol. Tiene un ambiente ameno y para temporada navideña si deberían hacer una reserva.
La comida en cuanto a sabor le pongo un 8/10 lo interesante es que cuando te sirves tu plato viene con una guarnición y ensalada pero está la puedes escoger de manera ilimitada.
El servicio si dió mucho que desear, al pedir las jarras de sangría se demoraron 10 o 15 minutos y para traer los platos fueron otros 20 minutos. Y cada vez que llamamos a alguna mesera era un trámite. Puede ser que por épocas festivas se llenen y es entendible pero a la hora que fuimos no había mucha gente. Había aún mesas sin ocupar.
Sobre lo anterior expuesto esque tuvimos mi termino de  carne 3/4 lo trajeron en termino medio, las papas chauchas de un plato lo pusieron en otro. Aunque si resolvieron el problema es un poco molestoso que llegue tarde la comida y que la traigan mal.
El establecimiento estaba simpático más sin embargo al ir al baño los papeles estaban tirados y el piso mojado.
Puede que sea por temporada si pienso regresar para darle una nueva oportunidad.",Casa Res | Steak House (Mall del Sol),True
2025-02-08 15:04:03.778000+00:00,,5.0,5.0,4.0,4,"Ordené picaña y una copa de vino de verano, recomendación de la señorita que atendió. Muy buena la recomendación.

Termino de carne perfecta, el vino excelente para refrescar.

Lo unico que no me agradó fue la demora en pasarme la cuenta, por el resto todo bien.",Casa Res | Steak House (Mall del Sol),True
2024-02-11 01:20:58.663000+00:00,,5.0,5.0,5.0,5,"Excelente atención y ambiente de este local ubicado en Mall del Sol. Siguiendo con los prótocolos de bioseguridad, las salsas, ensaladas se las ofrecen en bandejas de aluminio selladas, añoro volver al selfservice.  La carta bien ilustrada, también lo encuentras escaneando código QR.  Los precios son razonables y se disfruta la calidad en sus platos.  Lo recomiendo.  Mi favorito es el lomo casa res, corte suave de carne en termino 3/4 el intenso sabor del orégano marinado en vinagreta, papas fritas ( hay otras sugerencias del mesero) y huevos fritos aunque no considero que deben acompañar este plato; todo llevan ensalada (lechuga, fréjol tierno, tómate, maíz dulce y brócoli)  En cuanto a vinos, no soy un experto catando, disfruto mucho tanto en sangría o vino.",Casa Res | Steak House (Mall del Sol),True
2021-06-07 22:34:06.647000+00:00,,,,,3,No me agrado para nada pague por un plato más de 7 dólares que fue el POLLO PARRILLERO  y la verdad no amerita para nada solo fue espaldilla hueso y casi nada de carne. Por los sanduches estuvo bien pero jamás volveré a pedir ese plato no amerita para nada su costo,Casa Res | Steak House (Mall del Sol),True
2022-10-25 02:24:03.521000+00:00,,4.0,2.0,5.0,2,"Pedí bife medio, el primero me lo trajeron muy pasado. La camarera, muy amable se ofreció a cambiarlo. Lo malo es que lo me trajeron era aún peor. Estaba cocido y con un color muy raro (en el corte se puede ver que hay una marte rosa, como debería,y la de al lado está marrón). Por no desperdiciar más comida, me lo he comido. Espero no enfermarme",Casa Res | Steak House (Mall del Sol),True
2025-01-06 00:26:19.127000+00:00,,5.0,4.0,5.0,5,"En esta oportunidad visité Casa Res - Mall del Sol, ya he ido en varias ocasiones, pero no había dado mi review acerca del lugar. Me pedí una bondiola de cerdo acompañado de papas fritas y estuvo delicioso, pedí también un moro (el moro no me agradó mucho) y una chistorra. Como dato adicional el restaurante cuenta una estación donde hay una gran variedad de ensaladas y aderezos de los que no incluyen en el menú, pero te puedes servir gratis para acompañar tu comida. El ambiente es relajado y la atención es rápida.",Casa Res | Steak House (Mall del Sol),True
2020-02-29 19:27:59.805000+00:00,,,,,2,"El sitio está muy bien.. amplio y acogedor.. La comida tenía buena pinta pero no estuvo buena, quiero decir mi pareja y yo pedimos Costilla de cerdo que resultó un poco sosa y seca y lomo de res que más que a la parrila parecía hervido. La provoleta no era tal. Lo mejor la estación de ensaladas.  La atención estuvo bien, el chico que nos atendió muy agradable pero tuvimos que esperar mucho x la bebida que normalmente es lo primero que te deben servir.  En fin, espero que mejoren porque el sitio tiene potencial.",Casa Res | Steak House (Mall del Sol),True
2024-09-06 17:11:15.647000+00:00,,5.0,5.0,4.0,4,"Los platos tienen buena presentación y hay un barra libre de ensaladas con buenas vinagretas y salsas, muy rica la comida; la atención buena, pero estuve esperando un tiempo considerable a que me trajeran la cuenta.",Casa Res | Steak House (Mall del Sol),True
2025-05-08 15:31:00.171000+00:00,,3.0,4.0,4.0,4,"Actualizando a fines/04/2025: Corte importado, Picanha, muy buena, en el punto solicitado, atencion todo bien, bebidas sin alcohol deliciosa. La barra de ensaladas sigue desmejorando.

la impresión que han bajado sus estándares, el lomo q pedí estaba corriente, la barra de ensaladas limitada, la bebida sin alcohol estuvo buena, la la atención muy buena.
Actualización 28/03/24, volví a los tiempos,  da gusto que regresaron a sus buenos tiempos, todos los cortes en su punto y muy bien logrados, los cócteles excelentes medida de licor muy buena, aunq la barra de ensaladas sigue algo limitada.
Atención impecable, precios razonables.
Recomendado nuevamente",Casa Res | Steak House (Mall del Sol),True
2023-06-24 01:43:07.196000+00:00,,3.0,2.0,1.0,2,"La comida ha cambiado antes era mejor, el servicio se les olvidan de las cosas, pedí unas picadas con vegetales salteados los cuales los vegetales crudos, la chistorra y chinchulines es ahora más pequeña, ni sé siga de los cócteles",Casa Res | Steak House (Mall del Sol),True
2020-07-25 20:13:55.681000+00:00,,,,,3,"La carne es muy rica, a mi gusto personal es mejor que la tablita. Pero ahora con el tema de las medidas preventivas te sirven una ensalada fría que parace guardada de 3 días antes y eso me decepcionó por que antes se podía escoger, se que por las medidas de higiene no lo hacen pero debería preguntar que se desea servir de las opciones que tenían antes y no dar esa ensalada que muchas personas ni siquiera la tocan.",Casa Res | Steak House (Mall del Sol),True
2024-03-19 13:51:26.882000+00:00,,5.0,5.0,5.0,5,"Casa Res es mi lugar favorito para volver una y otra vez, ya que lo tiene todo: un ambiente encantador, un servicio excepcional y, sobre todo, una comida espectacular. Además, ¡tienen una barra libre de ensaladas completamente gratis para que disfrutes! Puedes comer todas las ensaladas que desees. La carne se prepara exactamente como la pidas y los postres son simplemente deliciosos. ¡Una experiencia culinaria que nunca decepciona!",Casa Res | Steak House (Mall del Sol),True
2022-03-30 02:13:28.989000+00:00,,,,,5,"Es verdaderamente impresionante porque disfrutas de una buen corte de carne, en un buen ambiente y lo puedes acompañar con ensaladas a tu elección gratisssss, las ensaladas no pagas!!! Solo pagas por el corte de carne, bien preparada y a buen precio, no dudes no un segundo en visitarlos porque sales satisfecho en todos los sentidos, en otras palabras.....no te arrepentirás 🤗",Casa Res | Steak House (Mall del Sol),True
2024-11-04 19:49:45.888000+00:00,,4.0,5.0,5.0,5,"Hace mucho tiempo que no decía Woow a un sabor.
Todo excelente fui en hora pico y me sirvieron en 20 minutos.
El ambiente podría mejorar poniendo música de fondo pero de ahí todo excelente. Felicidades un sabor y servicio de primer mundo.",Casa Res | Steak House (Mall del Sol),True
2022-11-09 01:49:45.257000+00:00,,,,,5,Lindo lugar para compartir si eres Colombiano acá encuentras un caldo de costilla muy bueno y obviamente todos sus cortes,Casa Res | Steak House (Mall del Sol),True
2022-07-20 15:37:28.259000+00:00,,,,,5,"Celebramos el cumpleaños de mi hija Iris y la atención excelente. Se hizo un convenio de evento y no hay queja, totalmente recomendado para pequeños eventos y cena familiar",Casa Res | Steak House (Mall del Sol),True
2021-05-18 21:10:43.919000+00:00,,,,,5,"Excelente atención nada más llegar, buen ambiente en serio. Y su comida deliciosa, te lleva a otro mundo. 10/10 recomiendo que vayan porque la experiencia nunca la vas a olvidar. 😎🙂",Casa Res | Steak House (Mall del Sol),True
2026-06-28 01:33:23.982000+00:00,Hasta 10 min,3.0,4.0,3.0,3,"Salad Bar deficiente (antes había de todo, ahora ni yuquitas ni brócolis ni tomate!). Pisos sucios. Muebles rotos. Deben renovar y no dejar caer la franquicia.",Casa Res | Steak House (Mall del Sol),True
