isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado
True,1,2024-01-08 08:43:15.174000+00:00,,5.0,5.0,5.0,548,5,Lo.mejor en asados. Su morochoclo buenísimo lleno de queso,Rukito Grill&Drink - Alborada,True,Lo.mejor en asados. Su morochoclo buenísimo lleno de queso,es
True,0,2022-12-18 02:31:57.320000+00:00,,5.0,5.0,5.0,77,5,Muy rico para pasar en familia o amigos...,Rukito Grill&Drink - Alborada,True,Muy rico para pasar en familia o amigos...,es
False,0,2023-05-16 23:44:31.106000+00:00,,3.0,5.0,4.0,5,4,Lo q falta música y poner partido de fútbol y de hayi todo excelente.,Rukito Grill&Drink - Alborada,True,Lo q falta música y poner partido de fútbol y de hayi todo excelente.,es
False,0,2022-08-08 17:03:20.992000+00:00,,,,,6,5,La tercera vez que voy me parece un lugar muy espectacular ☺️,Rukito Grill&Drink - Alborada,True,La tercera vez que voy me parece un lugar muy espectacular ☺️,es
False,0,2025-12-28 16:46:23.485000+00:00,,5.0,5.0,5.0,2,5,En mi opinión el mejor de todos,Rukito Grill&Drink - Alborada,True,En mi opinión el mejor de todos,es
True,0,2023-05-18 17:10:34.129000+00:00,,,,,9,5,"Me pedí un bife de chorizo en 3/4 de cocción, es algo qué deben pedir si visitan este lugar.",Rukito Grill&Drink - Alborada,True,"Me pedí un bife de chorizo en 3/4 de cocción, es algo qué deben pedir si visitan este lugar.",es
True,0,2021-11-02 03:43:53.125000+00:00,,,,,130,5,"Delicioso el moroclo
Y me encantó las recomendaciones del tío del dueño",Rukito Grill&Drink - Alborada,True,Delicioso el moroclo Y me encantó las recomendaciones del tío del dueño,es
True,0,2021-12-30 21:37:07.688000+00:00,,,,,36,3,"La comida estaba rica, pero la atención muy lenta.",Rukito Grill&Drink - Alborada,True,"La comida estaba rica, pero la atención muy lenta.",es
True,4,2022-03-04 01:07:04.684000+00:00,,,,,8,5,Exelente atención y su comida un 10/10,Rukito Grill&Drink - Alborada,True,Exelente atención y su comida un 10/10,es
False,0,2021-10-11 04:32:35.089000+00:00,,,,,10,4,Muy sabrosa la comida ahí.,Rukito Grill&Drink - Alborada,True,Muy sabrosa la comida ahí.,es
True,0,2022-04-09 23:23:29.575000+00:00,,,,,4,5,Excelente atencion y comida deliciosa para el paladar familiar,Rukito Grill&Drink - Alborada,True,Excelente atencion y comida deliciosa para el paladar familiar,es
True,0,2022-01-11 22:30:49.566000+00:00,,,,,65,5,Buena comida pueden comer 2 por cada plato,Rukito Grill&Drink - Alborada,True,Buena comida pueden comer 2 por cada plato,es
True,1,2021-07-20 19:17:02.170000+00:00,,,,,504,4,Increíble. La sangría. Es de verdad.,Rukito Grill&Drink - Alborada,True,Increíble. La sangría. Es de verdad.,es
True,0,2022-10-18 18:51:15.944000+00:00,,4.0,4.0,4.0,630,4,Excelente carne y sabor los moros  chicosos  son únicos.,Rukito Grill&Drink - Alborada,True,Excelente carne y sabor los moros chicosos son únicos.,es
False,0,2021-10-14 02:03:10.213000+00:00,,,,,13,5,Excelente comida muy recomendado,Rukito Grill&Drink - Alborada,True,Excelente comida muy recomendado,pt
