isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado,sentimiento,prob_positivo,prob_negativo,prob_neutral
True,0,2021-06-10 02:23:09.353000+00:00,,,,,109,4,Buena sazón.,Casa Res | Steak House (Mall del Sol),True,Buena sazón.,es,POS,0.8479270935058594,0.023184174671769142,0.12888875603675842
True,0,2021-11-06 15:43:46.778000+00:00,,,,,72,5,Demasiado bueno,Casa Res | Steak House (Mall del Sol),True,Demasiado bueno,es,NEU,0.20228612422943115,0.2430519014596939,0.5546619892120361
True,0,2020-03-10 02:53:32.646000+00:00,,,,,121,5,Lindo lugar,Casa Res | Steak House (Mall del Sol),True,Lindo lugar,es,NEU,0.3313156068325043,0.16859272122383118,0.5000916719436646
True,0,2021-06-19 23:26:52.735000+00:00,,,,,15,5,Excelente como siempre.,Casa Res | Steak House (Mall del Sol),True,Excelente como siempre.,es,POS,0.8838936686515808,0.018947012722492218,0.09715934097766876
True,0,2020-02-16 23:36:05.539000+00:00,,,,,20,1,Pésimo servicio,Casa Res | Steak House (Mall del Sol),True,Pésimo servicio,es,NEG,0.021456990391016006,0.807759165763855,0.17078380286693573
True,0,2022-02-11 17:59:29.874000+00:00,,,,,16,5,Bien,Casa Res | Steak House (Mall del Sol),True,Bien,es,NEU,0.29389795660972595,0.22995729744434357,0.4761447608470917
True,0,2020-11-13 22:44:56.887000+00:00,,,,,90,5,Excelente lugar,Casa Res | Steak House (Mall del Sol),True,Excelente lugar,es,NEU,0.42933228611946106,0.11308778822422028,0.4575798809528351
False,0,2021-12-30 00:51:33.522000+00:00,,,,,8,5,Delicioso,Casa Res | Steak House (Mall del Sol),True,Delicioso,es,NEU,0.18431298434734344,0.2945018410682678,0.5211851596832275
True,0,2021-11-27 01:00:21.035000+00:00,,,,,158,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
True,0,2021-12-23 00:36:12.744000+00:00,,,,,88,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
True,0,2021-11-16 18:48:45.007000+00:00,,,,,20,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
